id,Year,Player,Year Position,Career Position,Age,Ht:ins,Ht:cm,Wt:lbs,Wt:kgs,DRB,STL,BLK,TRB,ORB,AST,PTS,FG,FGA,FG%,eFG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TOV,Personal Fouls,Games Played,Games Started,Minutes Per Seasom,Team,YearBorn,DOB,Birth State,Birth City,collage,college,Player Rating
2,2010,Aaron Brooks,PG,G,25,Jun-00,183,161,73,161,69,14,215,54,434,1604,575,1331,0.432,0.511,209,525,0.398,366,806,0.454,245,298,0.822,232,199,82,82,2919,HOU,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,16
3,2011,Aaron Brooks,PG,G,26,Jun-00,183,161,73,58,34,3,78,20,233,634,220,587,0.375,0.434,70,236,0.297,150,351,0.427,124,140,0.886,99,115,59,12,1284,TOT,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,13.1
4,2011,Aaron Brooks,PG,G,26,Jun-00,183,161,73,40,21,2,51,11,129,394,134,387,0.346,0.408,48,169,0.284,86,218,0.394,78,83,0.94,55,69,34,7,811,HOU,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,11.7
5,2011,Aaron Brooks,PG,G,26,Jun-00,183,161,73,18,13,1,27,9,104,240,86,200,0.43,0.485,22,67,0.328,64,133,0.481,46,57,0.807,44,46,25,5,473,PHO,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,15.6
6,2013,Aaron Brooks,PG,G,28,Jun-00,183,161,73,67,30,10,80,13,114,376,143,316,0.453,0.532,50,134,0.373,93,182,0.511,40,52,0.769,67,94,53,20,997,TOT,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,11.8
7,2013,Aaron Brooks,PG,G,28,Jun-00,183,161,73,66,29,7,78,12,108,366,139,303,0.459,0.538,48,127,0.378,91,176,0.517,40,52,0.769,63,89,46,20,959,SAC,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,12.1
8,2013,Aaron Brooks,PG,G,28,Jun-00,183,161,73,1,1,3,2,1,6,10,4,13,0.308,0.385,2,7,0.286,2,6,0.333,0,0,,4,5,7,0,38,HOU,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,5.6
9,2014,Aaron Brooks,PG,G,29,Jun-00,183,161,73,97,52,13,140,43,233,645,233,581,0.401,0.484,96,248,0.387,137,333,0.411,83,95,0.874,117,146,72,12,1557,TOT,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,12.5
10,2014,Aaron Brooks,PG,G,29,Jun-00,183,161,73,39,25,6,62,23,83,299,104,263,0.395,0.498,54,132,0.409,50,131,0.382,37,44,0.841,51,76,43,0,716,HOU,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,11.9
11,2014,Aaron Brooks,PG,G,29,Jun-00,183,161,73,58,27,7,78,20,150,346,129,318,0.406,0.472,42,116,0.362,87,202,0.431,46,51,0.902,66,70,29,12,841,DEN,1985,14-Jan-85,Seattle,Washington,University of Oregon,University of Oregon,12.9
20,2010,Aaron Gray,C,C,25,Jul-00,213,270,122,61,9,11,106,45,22,104,42,82,0.512,0.512,0,0,,42,82,0.512,20,28,0.714,18,54,32,0,311,TOT,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,16.6
21,2010,Aaron Gray,C,C,25,Jul-00,213,270,122,11,0,0,16,5,2,18,8,21,0.381,0.381,0,0,,8,21,0.381,2,7,0.286,1,10,8,0,50,CHI,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,7
22,2010,Aaron Gray,C,C,25,Jul-00,213,270,122,50,9,11,90,40,20,86,34,61,0.557,0.557,0,0,,34,61,0.557,18,21,0.857,17,44,24,0,261,NOH,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,18.4
23,2011,Aaron Gray,C,C,26,Jul-00,213,270,122,112,11,12,171,59,16,129,56,99,0.566,0.566,0,0,,56,99,0.566,17,34,0.5,32,96,41,6,531,NOH,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,11
24,2012,Aaron Gray,C,C,27,Jul-00,213,270,122,198,22,17,281,83,27,191,83,161,0.516,0.516,0,0,,83,161,0.516,25,47,0.532,51,127,49,40,813,TOR,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,11.1
25,2013,Aaron Gray,C,C,28,Jul-00,213,270,122,85,7,5,133,48,33,119,48,90,0.533,0.533,0,0,,48,90,0.533,23,44,0.523,36,85,42,16,513,TOR,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,9
26,2014,Aaron Gray,C,C,29,Jul-00,213,270,122,69,10,8,111,42,22,65,27,61,0.443,0.443,0,1,0,27,60,0.45,11,20,0.55,31,64,37,6,355,TOT,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,7.8
27,2014,Aaron Gray,C,C,29,Jul-00,213,270,122,5,0,0,8,3,3,5,2,3,0.667,0.667,0,0,,2,3,0.667,1,2,0.5,4,7,4,0,20,TOR,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,5.7
28,2014,Aaron Gray,C,C,29,Jul-00,213,270,122,64,10,8,103,39,19,60,25,58,0.431,0.431,0,1,0,25,57,0.439,10,18,0.556,27,57,33,6,335,SAC,1984,7-Dec-84,Tarzana,California,University of Pittsburgh,University of Pittsburgh,7.9
85,2010,Acie Law,PG,G,25,3-Jun,190,195,88,14,11,1,17,3,26,113,35,75,0.467,0.5,5,16,0.313,30,59,0.508,38,49,0.776,17,16,26,1,234,TOT,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,16
86,2010,Acie Law,PG,G,25,3-Jun,190,195,88,2,6,0,2,0,7,31,9,14,0.643,0.679,1,3,0.333,8,11,0.727,12,15,0.8,2,5,5,0,66,GSW,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,21.3
87,2010,Acie Law,PG,G,25,3-Jun,190,195,88,1,1,1,1,0,3,16,5,16,0.313,0.313,0,1,0,5,15,0.333,6,7,0.857,3,3,9,0,33,CHA,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,7.5
88,2010,Acie Law,PG,G,25,3-Jun,190,195,88,11,4,0,14,3,16,66,21,45,0.467,0.511,4,12,0.333,17,33,0.515,20,27,0.741,12,8,12,1,135,CHI,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,15.4
89,2011,Acie Law,PG,G,26,3-Jun,190,195,88,51,32,0,63,12,84,215,81,186,0.435,0.452,6,36,0.167,75,150,0.5,47,64,0.734,43,61,51,0,726,TOT,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,9.9
90,2011,Acie Law,PG,G,26,3-Jun,190,195,88,8,4,0,11,3,14,12,3,19,0.158,0.158,0,6,0,3,13,0.231,6,10,0.6,10,10,11,0,94,MEM,1985,25-Jan-85,Dallas,Texas,Texas A&M University,Texas A&M University,0.4
